symbol,date,open,high,low,close,avg_close_price,volume_sum,volume_interval_average,interval_days,original_interval_days,rows_aggregated,volume_boost,boost_percentage
ABFRL,2025-06-04 09:15:00+05:30,81.7,81.7,73.1,77.08,77.36173333333333,242468963,242468963.0,1,1,75,True,1553.24498074403
ABREL,2025-06-06 09:15:00+05:30,2169.5,2457.9,2160.0,2284.0,2276.385333333333,2424647,2424647.0,1,1,75,True,691.0420080497971
ADANIPOWER,2025-06-10 09:15:00+05:30,567.7,610.6,562.45,598.5,585.1593333333333,30001650,30001650.0,1,1,75,True,425.01448175504527
AIAENG,2025-06-20 09:15:00+05:30,3360.1,3374.9,3200.0,3300.0,3326.152,621225,621225.0,1,1,75,True,711.3551187956589
ALKYLAMINE,2025-06-23 09:15:00+05:30,2057.9,2175.0,2050.0,2156.5,2124.9546666666665,639816,639816.0,1,1,75,True,817.9089681131861
ALOKINDS,2025-06-26 09:15:00+05:30,19.55,21.53,19.55,20.31,20.769866666666665,106285684,106285684.0,1,1,75,True,635.4391708023438
APLLTD,2025-06-30 09:15:00+05:30,989.0,1107.9,988.9,1017.1,1074.776,15240569,15240569.0,1,1,75,True,7566.761687141063
APOLLOHOSP,2025-07-01 09:15:00+05:30,7475.0,7584.5,7404.5,7508.0,7472.313333333333,1846276,1846276.0,1,1,75,True,339.50952203702747
APTUS,2025-06-03 09:15:00+05:30,315.0,333.15,305.5,306.15,310.5673333333333,90323045,90323045.0,1,1,75,True,10884.121995287956
ASAHIINDIA,2025-07-01 09:15:00+05:30,764.8,832.0,762.1,802.0,785.4706666666666,9892129,9892129.0,1,1,75,True,581.9869159427789
ASTRAZEN,2025-06-02 09:15:00+05:30,8409.0,9488.0,8400.5,9266.0,8920.46,1426635,1426635.0,1,1,75,True,3929.352008591012
ATGL,2025-06-27 09:15:00+05:30,648.0,693.9,647.8,682.0,681.5453333333332,11608272,11608272.0,1,1,75,True,679.5012892253405
BAJAJHLDNG,2025-06-06 09:15:00+05:30,13600.0,14740.0,13490.0,14245.0,14162.36,502793,502793.0,1,1,75,True,466.7630000402582
BAJAJFINSV,2025-06-06 09:15:00+05:30,1968.0,2018.7,1921.0,1988.7,1979.4586666666669,6847381,6847381.0,1,1,75,True,225.5484674374784
BBTC,2025-06-12 09:15:00+05:30,2025.0,2155.0,1960.1,1965.0,2037.0293333333327,899357,899357.0,1,1,75,True,791.233834837633
BEL,2025-06-20 09:15:00+05:30,399.0,410.0,397.75,407.1,404.7313333333333,122142574,122142574.0,1,1,75,True,303.6153740508702
BLUEDART,2025-07-01 09:15:00+05:30,6410.0,6944.0,6410.0,6825.0,6724.96,692263,692263.0,1,1,75,True,3233.288091829219
BRIGADE,2025-06-05 09:15:00+05:30,1218.0,1332.0,1194.2,1253.9,1264.4573333333333,2856537,2856537.0,1,1,75,True,568.5460783815515
CGCL,2025-06-09 09:15:00+05:30,158.99,182.44,158.58,178.5,173.07706666666667,93660815,93660815.0,1,1,75,True,1231.3079489134004
CHENNPETRO,2025-06-23 09:15:00+05:30,630.0,708.0,627.3,704.0,677.4033333333333,17552601,17552601.0,1,1,75,True,605.9022093602298
CHOLAFIN,2025-06-06 09:15:00+05:30,1519.0,1623.7,1497.2,1591.0,1573.168,6914121,6914121.0,1,1,75,True,310.34616586338944
CRISIL,2025-06-11 09:15:00+05:30,5525.0,6010.0,5511.0,5735.0,5751.0,498856,498856.0,1,1,75,True,557.5347120179104
DMART,2025-06-10 09:15:00+05:30,4179.1,4192.2,3928.9,4079.9,4103.636,3581929,3581929.0,1,1,75,True,557.1526419593423
ENDURANCE,2025-06-20 09:15:00+05:30,2424.9,2653.0,2400.2,2565.0,2562.2506666666663,3431895,3431895.0,1,1,75,True,1808.842938877926
ERIS,2025-06-12 09:15:00+05:30,1715.6,1910.0,1715.6,1793.9,1808.152,3100671,3100671.0,1,1,75,True,1281.4685000523507
FIRSTCRY,2025-06-26 09:15:00+05:30,340.3,406.9,337.1,396.5,369.3086666666666,56303935,56303935.0,1,1,75,True,649.1647076399057
FACT,2025-06-03 09:15:00+05:30,890.7,1066.0,890.7,1025.2,1005.3333333333336,17001437,17001437.0,1,1,75,True,1103.9219470370574
FIVESTAR,2025-06-09 09:15:00+05:30,736.65,817.0,730.7,798.8,790.9026666666666,8852631,8852631.0,1,1,75,True,515.105907927539
GESHIP,2025-06-13 09:15:00+05:30,956.0,1049.0,941.4,985.0,1012.366,8066592,8066592.0,1,1,75,True,1121.5858344337855
GMDCLTD,2025-06-06 09:15:00+05:30,388.0,413.8,385.05,401.0,397.17733333333337,15655556,15655556.0,1,1,75,True,668.3871849054257
GODREJIND,2025-06-06 09:15:00+05:30,1198.0,1390.0,1190.0,1337.0,1295.764,5187059,5187059.0,1,1,75,True,707.2793314902165
GRASIM,2025-06-10 09:15:00+05:30,2710.0,2742.0,2666.6,2704.0,2711.876,2824021,2824021.0,1,1,75,True,294.5914324398305
GSPL,2025-06-27 09:15:00+05:30,321.0,343.3,321.0,328.9,333.41600000000005,4929736,4929736.0,1,1,75,True,549.4102846880351
HAPPSTMNDS,2025-06-17 09:15:00+05:30,606.35,674.85,605.0,663.2,646.838,24997838,24997838.0,1,1,75,True,4522.6803856131
HDFCAMC,2025-06-06 09:15:00+05:30,4835.0,5157.8,4821.0,5101.6,5064.005333333333,2381457,2381457.0,1,1,75,True,404.4785843465716
HDFCLIFE,2025-06-27 09:15:00+05:30,801.0,811.2,794.0,804.45,803.336,17207510,17207510.0,1,1,75,True,479.1733996393583
HBLENGINE,2025-07-01 09:15:00+05:30,594.0,644.0,594.0,624.0,629.4493333333332,23563263,23563263.0,1,1,75,True,1026.507702553271
HINDZINC,2025-06-18 09:15:00+05:30,462.0,465.0,451.2,452.85,457.274,140515082,140515082.0,1,1,75,True,1461.745347074958
HSCL,2025-06-27 09:15:00+05:30,451.9,527.5,449.25,502.0,498.45,54451608,54451608.0,1,1,75,True,3255.4063050904624
HYUNDAI,2025-06-20 09:15:00+05:30,1897.5,2048.1,1897.5,1999.0,1965.149333333333,12239853,12239853.0,1,1,75,True,852.5311581074255
IEX,2025-06-11 09:15:00+05:30,211.6,214.2,188.59,193.28,205.02973333333333,71065831,71065831.0,1,1,75,True,656.206802099529
IKS,2025-06-19 09:15:00+05:30,1678.0,1678.0,1608.0,1609.5,1643.2133333333334,7405212,7405212.0,1,1,75,True,1476.258865027129
INDGN,2025-06-04 09:15:00+05:30,599.0,600.0,585.65,594.5,591.9986666666667,40658359,40658359.0,1,1,75,True,8305.993618409364
INDIAMART,2025-06-25 09:15:00+05:30,2601.9,2675.0,2580.0,2669.0,2632.952,1191956,1191956.0,1,1,75,True,564.766615568702
INDIANB,2025-06-02 09:15:00+05:30,604.55,635.75,600.9,627.95,622.1780000000001,10507784,10507784.0,1,1,75,True,400.8804955455959
IOB,2025-06-02 09:15:00+05:30,40.1,42.35,39.7,42.25,41.68599999999999,89039636,89039636.0,1,1,75,True,514.5427061728868
IRCON,2025-06-04 09:15:00+05:30,193.99,223.75,190.5,221.1,210.37746666666663,101477672,101477672.0,1,1,75,True,1068.3961231095273
JINDALSAW,2025-06-10 09:15:00+05:30,238.5,257.0,238.5,247.7,249.95453333333333,52498969,52498969.0,1,1,75,True,1997.1105020389828
JSWSTEEL,2025-06-20 09:15:00+05:30,993.95,1024.0,993.6,1007.55,1008.4493333333332,9666506,9666506.0,1,1,75,True,407.8734608223017
JUBLINGREA,2025-06-13 09:15:00+05:30,692.0,806.0,690.0,784.9,759.042,26794616,26794616.0,1,1,75,True,3863.965302839327
JUBLPHARMA,2025-06-13 09:15:00+05:30,1060.5,1174.4,1060.0,1092.2,1109.0146666666665,6451844,6451844.0,1,1,75,True,1451.877997377317
JYOTICNC,2025-06-30 09:15:00+05:30,1120.0,1120.0,1052.2,1061.0,1069.3199999999997,18130680,18130680.0,1,1,75,True,3050.3673560765164
KIRLOSBROS,2025-06-25 09:15:00+05:30,1860.3,2228.0,1860.3,2215.8,2043.0173333333328,4348956,4348956.0,1,1,75,True,2223.1838686810647
KNRCON,2025-06-26 09:15:00+05:30,234.27,245.0,223.8,225.21,231.3664,22819308,22819308.0,1,1,75,True,1477.5886276323554
LATENTVIEW,2025-06-17 09:15:00+05:30,400.5,430.8,400.5,403.0,413.3526666666666,5892088,5892088.0,1,1,75,True,1186.8036830873289
LTFOODS,2025-06-24 09:15:00+05:30,415.0,448.8,402.25,437.5,427.4433333333333,11257771,11257771.0,1,1,75,True,992.29922117035
MAPMYINDIA,2025-06-12 09:15:00+05:30,1819.1,1829.9,1758.9,1759.9,1793.2599999999995,2243334,2243334.0,1,1,75,True,1286.5378089334888
MFSL,2025-06-27 09:15:00+05:30,1636.7,1658.0,1608.7,1634.0,1633.550666666667,6413152,6413152.0,1,1,75,True,443.8228211784025
NAVA,2025-06-04 09:15:00+05:30,490.0,554.15,487.75,532.95,533.1499999999999,13702321,13702321.0,1,1,75,True,2313.610572855768
NETWORK18,2025-06-25 09:15:00+05:30,54.1,63.37,53.76,61.29,60.0148,145876195,145876195.0,1,1,75,True,2927.523989644881
NESTLEIND,2025-06-20 09:15:00+05:30,2338.1,2398.0,2318.9,2383.1,2352.6253333333334,11431498,11431498.0,1,1,75,True,1285.1104034732798
NEULANDLAB,2025-06-06 09:15:00+05:30,11756.0,13250.0,11756.0,12900.0,12882.413333333334,539271,539271.0,1,1,75,True,920.439245015616
NIVABUPA,2025-06-02 09:15:00+05:30,84.5,85.41,81.63,83.15,83.40213333333332,162220912,162220912.0,1,1,75,True,1500.449892806778
NTPC,2025-06-24 09:15:00+05:30,331.0,331.7,321.35,331.5,328.0593333333333,100703466,100703466.0,1,1,75,True,616.9644758719498
OLAELEC,2025-06-03 09:15:00+05:30,52.0,52.0,49.05,49.61,50.028400000000005,276442651,276442651.0,1,1,75,True,406.6016764237179
PNCINFRA,2025-06-05 09:15:00+05:30,286.2,318.4,286.2,300.3,308.3586666666667,16517808,16517808.0,1,1,75,True,2196.8075816433875
RAYMONDLSL,2025-06-26 09:15:00+05:30,1100.0,1190.0,1091.5,1155.0,1150.9053333333331,1634826,1634826.0,1,1,75,True,821.4081080453617
RAYMOND,2025-06-30 09:15:00+05:30,629.75,717.95,627.45,714.0,663.7246666666667,17884702,17884702.0,1,1,75,True,3303.4549877896097
RKFORGE,2025-06-06 09:15:00+05:30,603.95,672.9,603.0,657.2,656.1766666666666,21551445,21551445.0,1,1,75,True,1298.5586121896954
ROUTE,2025-06-12 09:15:00+05:30,1031.95,1158.0,1027.0,1063.65,1095.7413333333332,8324831,8324831.0,1,1,75,True,1478.4625083842711
RHIM,2025-06-12 09:15:00+05:30,461.45,514.8,457.25,484.5,487.5866666666668,10844697,10844697.0,1,1,75,True,1067.1111750000769
RTNINDIA,2025-06-10 09:15:00+05:30,50.38,59.88,49.91,59.88,52.736,67311717,67311717.0,1,1,75,True,1259.6384635994102
SAREGAMA,2025-06-04 09:15:00+05:30,556.1,603.0,555.05,565.8,581.1073333333335,5958056,5958056.0,1,1,75,True,665.8148686487331
SBILIFE,2025-06-27 09:15:00+05:30,1848.0,1862.9,1815.3,1843.0,1845.8466666666664,6747482,6747482.0,1,1,75,True,430.63825302943377
SHREECEM,2025-06-20 09:15:00+05:30,29420.0,29555.0,28590.0,28735.0,29259.8,295395,295395.0,1,1,75,True,774.1068603595094
SBICARD,2025-06-27 09:15:00+05:30,978.0,1015.0,949.5,977.0,971.636,9945693,9945693.0,1,1,75,True,565.1397402751676
SCI,2025-06-13 09:15:00+05:30,198.8,236.5,198.8,229.0,226.14520000000005,86316465,86316465.0,1,1,75,True,1204.4993934912036
STARHEALTH,2025-06-25 09:15:00+05:30,428.0,442.0,419.05,429.8,432.2386666666667,19788736,19788736.0,1,1,75,True,1046.5347083507966
SUNDRMFAST,2025-06-27 09:15:00+05:30,1000.5,1011.1,993.1,998.0,1004.988,1671177,1671177.0,1,1,75,True,874.3662698580439
SWSOLAR,2025-06-12 09:15:00+05:30,324.5,348.9,315.45,328.6,333.1873333333333,20601404,20601404.0,1,1,75,True,643.6721078141212
TANLA,2025-06-12 09:15:00+05:30,670.1,701.65,670.1,674.3,682.6326666666668,18882685,18882685.0,1,1,75,True,851.0605864862325
TATAINVEST,2025-06-10 09:15:00+05:30,6904.0,7425.0,6839.5,7325.0,7046.78,507157,507157.0,1,1,75,True,425.8347980935029
TECHM,2025-06-27 09:15:00+05:30,1698.0,1701.8,1662.6,1681.0,1684.696,6178920,6178920.0,1,1,75,True,204.31320999999969
TRENT,2025-06-20 09:15:00+05:30,5756.0,6030.0,5720.0,5950.0,5790.24,10386909,10386909.0,1,1,75,True,777.1863405687453
TORNTPHARM,2025-06-27 09:15:00+05:30,3350.0,3377.0,3287.0,3375.0,3315.356,1732418,1732418.0,1,1,75,True,374.93588093280505
UNITDSPR,2025-06-11 09:15:00+05:30,1523.0,1548.0,1482.6,1503.1,1499.9333333333334,9668486,9668486.0,1,1,75,True,1074.3018790085332
USHAMART,2025-06-24 09:15:00+05:30,313.25,338.25,313.25,331.0,331.9346666666667,9997519,9997519.0,1,1,75,True,730.4967948770417
VMM,2025-06-17 09:15:00+05:30,115.49,129.9,113.5,129.85,121.16253333333331,1146682222,1146682222.0,1,1,75,True,3850.842763755415
WAAREEENER,2025-06-20 09:15:00+05:30,2675.0,3025.3,2675.0,3008.0,2864.5826666666667,13541880,13541880.0,1,1,75,True,405.23665344198696
WESTLIFE,2025-06-09 09:15:00+05:30,670.9,752.0,668.85,732.85,699.2586666666667,4262497,4262497.0,1,1,75,True,3113.91801354052
YESBANK,2025-06-03 09:15:00+05:30,22.93,22.93,20.71,20.95,21.1308,1412434567,1412434567.0,1,1,75,True,721.0545719083592
ZEEL,2025-06-23 09:15:00+05:30,132.5,151.44,132.01,148.35,144.8004,163687476,163687476.0,1,1,75,True,797.5705455335839
WOCKPHARMA,2025-06-11 09:15:00+05:30,1555.0,1847.8,1545.0,1833.0,1705.6386666666665,8907638,8907638.0,1,1,75,True,851.2586651280088
